library,log_level,unique_function_count,snippet_id,selected
logging,warning,445,snip_08559f82,no
logging,warning,445,snip_898ef64d,no
logging,warning,445,snip_d7d7c841,no
logging,warning,445,snip_9de06ec3,no
logging,warning,445,snip_bfef7f6f,no
logging,warning,77,snip_3ed52e49,no
logging,warning,445,snip_c578681a,no
logging,warning,445,snip_d26369cd,no
logging,warning,445,snip_885d8668,no
logging,warning,445,snip_aabf353a,no
logging,warning,445,snip_852e33ba,no
logging,warning,445,snip_66f77570,no
logging,warning,445,snip_fe6d48b4,no
logging,warning,445,snip_bfaeef6b,no
logging,warning,445,snip_a501acf0,no
logging,warning,445,snip_73c1310e,no
logging,warning,77,snip_809ac23d,no
logging,warning,445,snip_f3c8c337,no
logging,warning,445,snip_b2526acf,no
logging,warning,445,snip_07d48827,no
logging,warning,445,snip_918dd83f,no
logging,warning,445,snip_9a89cd0d,no
logging,warning,445,snip_78c1b3e0,no
logging,warning,445,snip_3d73c1d3,no
logging,warning,445,snip_fa47e96c,no
logging,warning,445,snip_74f19a3a,no
logging,warning,445,snip_7de756ec,no
logging,warning,445,snip_ebd10238,no
logging,warning,445,snip_0e494424,no
logging,warning,445,snip_28ca25c8,no
logging,warning,445,snip_bffd2302,no
logging,warning,445,snip_7e6cd60e,no
logging,warning,445,snip_37fa6ca5,no
logging,warning,445,snip_c58e00e7,no
logging,warning,445,snip_b1d0b362,no
logging,warning,445,snip_9fcf8e58,no
logging,warning,445,snip_f026b820,no
logging,warning,445,snip_e32bbfbb,no
logging,warning,445,snip_7da4071f,no
logging,warning,445,snip_174b042c,no
logging,warning,445,snip_09093067,no
logging,warning,445,snip_c1646df7,no
logging,warning,445,snip_c22502f5,no
logging,warning,77,snip_76ad191c,yes
logging,warning,445,snip_d284a30a,no
logging,warning,445,snip_31bb005f,no
logging,warning,445,snip_0666f9f1,no
logging,warning,445,snip_da6b7ef1,no
logging,warning,445,snip_bf1dc514,no
logging,warning,445,snip_5ac3ffb4,yes
logging,warning,445,snip_2f80695d,no
logging,warning,445,snip_315f0f9f,no
logging,warning,445,snip_22aa4f32,no
logging,warning,445,snip_51bf8472,no
logging,warning,445,snip_4af0f2d4,no
logging,warning,445,snip_7df9bc3e,no
logging,warning,445,snip_0b6b0672,no
logging,warning,445,snip_85360452,no
logging,warning,445,snip_d19eb37e,no
logging,warning,445,snip_5d2de72c,no
logging,warning,77,snip_95ec8d88,no
logging,warning,445,snip_4bdd8a34,no
logging,warning,445,snip_bf05d262,no
logging,warning,445,snip_a5115408,no
logging,warning,445,snip_7143aa1e,no
logging,warning,445,snip_0ed816c1,no
logging,warning,445,snip_23c81f06,no
logging,warning,445,snip_fb376c5c,no
logging,warning,445,snip_fc9e66c5,no
logging,warning,445,snip_be482f0b,no
logging,warning,445,snip_0b3d9949,no
logging,warning,445,snip_328a0b01,no
logging,warning,445,snip_4496e45f,no
logging,warning,445,snip_b915ee87,no
logging,warning,445,snip_a02360d2,no
logging,warning,445,snip_07ec7f45,no
logging,warning,445,snip_a870a31b,yes
logging,warning,445,snip_66df78ca,no
logging,warning,445,snip_52926a2e,yes
logging,warning,445,snip_95de8fbb,no
logging,warning,445,snip_5904bc06,no
logging,warning,445,snip_8d4abacd,no
logging,warning,77,snip_ed21639d,no
logging,warning,445,snip_db243a5e,no
logging,warning,445,snip_e4576397,no
logging,warning,445,snip_86455094,no
logging,warning,445,snip_5b0d40f1,no
logging,warning,445,snip_13594823,no
logging,warning,445,snip_aad4ff04,no
logging,warning,77,snip_264a1163,no
logging,warning,445,snip_6cc39a6c,no
logging,warning,445,snip_d3a40007,no
logging,warning,77,snip_79295581,no
logging,warning,445,snip_ddcf9cf5,no
logging,warning,77,snip_ad1c5806,no
logging,warning,445,snip_e8cdc370,no
logging,warning,445,snip_902c064c,no
logging,warning,445,snip_7f473c24,no
logging,warning,445,snip_6a136c59,no
logging,warning,445,snip_68668b91,no
logging,warning,445,snip_a1ee5b7c,no
logging,warning,445,snip_518728f9,no
logging,warning,445,snip_bc8554a2,no
logging,warning,77,snip_6df2205e,no
logging,warning,445,snip_f4030dbd,no
logging,warning,445,snip_d659332c,no
logging,warning,445,snip_fe86bec9,no
logging,warning,445,snip_78c2bffa,no
logging,warning,77,snip_be592472,no
