repository_full_name,num_stars,num_forks,num_contributor,num_commit,archived,accessible
OmdenaAI/omdena-philippines-renewable,32,7,11,129,False,True
autorope/donkeycar,2216,1144,110,2126,False,True
ericlavigne/CarND-Capstone-Wolf-Pack,40,23,15,221,False,True
anton164/predicting-citation-counts,2,0,3,176,False,True
nitishtalekar/ProjectsGit,1,2,3,441,False,True
dpressel/mead-baseline,241,68,11,2092,False,True
georgetown-analytics/Air-Pollution,1,2,5,106,,False
embedded-bitai/EMP,1,6,5,102,False,True
SharpAI/DeepCamera,858,175,9,844,False,True
StrayCamel247/Django_web,58,13,2,129,False,True
georgedimitriadis/themeaningofbrain,2,1,3,143,False,True
AI4Bharat/OpenHands,10,0,3,111,False,True
gmum/mlls2015,15,6,2,231,False,True
apachecn/ailearning,32770,10758,41,207,False,True
Uberi/speech_recognition,6156,2116,40,376,False,True
jaydu1/VITAE,14,6,3,459,False,True
maldil/R-CPATMiner,4,0,3,156,False,True
weilu/moneycat,1,2,3,188,False,True
st-tech/zr-obp,362,47,11,960,False,True
pykale/pykale,321,39,13,1770,False,True
mvlearn/mvlearn,127,19,16,600,False,True
deliciafernandes/Response,1,0,8,102,False,True
wassinkl/Vigilantes,1,0,9,219,False,True
pylayers/pylayers,135,87,8,4289,False,True
brad-ross/crop-yield-prediction-project,25,25,3,141,False,True
amyxzhang/wikum,103,32,13,1403,False,True
OSeMOSYS/osemosys_global,3,3,6,213,False,True
appoll/gh-repo-classifier,6,2,4,319,False,True
pysal/segregation,89,24,10,1080,False,True
MizarAI/mizar-labs,15,4,3,106,False,True
deepset-ai/FARM,1502,218,110,592,True,True
NVIDIA/DeepLearningExamples,7810,2256,79,1089,False,True
andreeadeac22/graph_coattention,13,4,4,115,False,True
dmitriy-serdyuk/twinnet-asr,12,3,3,955,False,True
nikogamulin/deep-learning-python,1,0,18,635,False,True
rizar/attention-lvcsr,259,106,4,945,False,True
rwth-i6/returnn,313,128,48,9139,False,True
abhiTronix/caffe-opencl-windows-amd,7,2,261,5104,False,True
VirrageS/io-kawiarnie,1,0,4,430,False,True
gheinrich/DIGITS-GAN,104,35,34,1486,False,True
NVIDIA/DIGITS,4053,1411,42,1613,True,True
MajerMartin/image_retrieval,2,0,2,158,False,True
spacetiller/experiment,1,0,2,279,False,True
mlcommons/tiny,166,42,12,196,False,True
deepmipt/DeepPavlov,5625,1012,66,2611,False,True
OCR-D/ocrd_keraslm,5,6,4,103,False,True
deepgram/kur,812,109,12,584,False,True
goeckslab/Galaxy-ML,9,5,6,662,False,True
mindee/doctr,616,94,12,571,False,True
wangqianwen0418/DNN-Genealogy,19,4,3,395,False,True
awslabs/handwritten-text-recognition-for-apache-mxnet,383,184,7,150,False,True
mli/new-docs,12,17,15,422,True,True
smihir/gdml,1,1,2,122,False,True
tmpaul06/dgl,1,0,24,417,False,True
jeongukjae/tfds-korean,20,2,2,137,True,True
i-Dare/Science4Fashion_ref,1,0,3,204,False,True
zaidhassanch/PointerNetworks,1,0,2,344,False,True
north-fern/ME-134,1,1,2,250,False,True
Ceyron/machine-learning-and-simulation,97,39,3,150,False,True
tensorflow/moonlight,275,65,6,139,True,True
EKYoonD/StockHelper,2,2,5,171,False,True
bigdata-3team/Sign-Language-Translator,1,1,4,136,False,True
AlexanderMath/itf,1,0,2,120,False,True
WorldCapital/tf-quant-finance,1,0,27,602,False,True
ufal/neuralmonkey,398,106,17,2831,False,True
HumanCompatibleAI/learning-from-human-preferences,3,5,3,652,False,True
lzil/procedural-generalization,3,2,3,207,False,True
umd-fire-coml/MultiSeg,6,3,5,268,False,True
google-research/federated,288,102,33,457,False,True
livey/scalable_maddpg,43,11,2,164,False,True
Eleven-Z/tf-encrypted,1,0,24,590,False,True
LuchnikovI/QGOpt,35,3,4,368,False,True
deepdrive/deepdrive,739,125,5,831,False,True
tariqdaouda/Spyrkle,2,3,2,108,False,True
artyom-beilis/dlprimitives,42,4,2,311,False,True
Jungjee/RawNet,168,41,2,131,False,True
opendilab/DI-engine,404,73,23,315,False,True
victoresque/pytorch-template,3174,789,9,233,False,True
crs4/deep_framework,4,0,2,392,False,True
ocropus/ocropus4,11,5,2,560,False,True
joycex99/adversarial-training,9,0,5,213,False,True
revbucket/geometric-certificates,34,2,2,165,False,True
revbucket/mister_ed,68,10,4,210,False,True
brightmart/text_classification,7243,2569,11,318,False,True
D-X-Y/AutoDL-Projects,1339,263,6,534,False,True
jcpeterson/cifar10-human-experiments,2,1,2,327,False,True
mdhiebert/meta-minichess,1,0,2,132,False,True
horovod/horovod,12185,2020,142,1153,False,True
ncsu-landscape-dynamics/LAMP_assay_automation,1,1,3,195,False,True
jkuck/BPNN,8,2,2,185,False,True
matterport/Mask_RCNN,21349,10586,203,42,False,True
chris-chris/pysc2-examples,743,362,5,190,False,True
muammar/ml4chem,77,14,2,432,False,True
ain-soph/trojanzoo,128,32,7,1243,False,True
mlab-upenn/ISP2021-object_detection,2,2,3,248,False,True
isi-nlp/rtg,21,4,4,1179,False,True
PyTorchRL/pytorchrl,15,2,3,787,False,True
pyro-ppl/pyro,7322,895,111,2304,False,True
kiudee/cs-ranking,59,14,4,853,False,True
hypnopump/rgn2-replica,29,13,4,212,False,True
yangcyself/CS385ML,2,2,3,232,False,True
cisco/mindmeld,554,148,36,3176,False,True
Voice-Privacy-Challenge/Voice-Privacy-Challenge-2022,11,3,7,393,False,True
nii-yamagishilab/project-NN-Pytorch-scripts,135,26,2,226,False,True
nanoporetech/taiyaki,102,39,10,768,True,True
NLESC-JCER/QMCTorch,15,2,3,1070,False,True
pytorch/botorch,2201,248,55,1096,False,True
statisticallyfit/PythonNeuralNetNLP,2,0,2,655,False,True
speechbrain/speechbrain,3760,698,81,5969,False,True
rbg-research/AI-Training,1,16,14,160,False,True
