repository_full_name,Contributors,Stars,created_date,description,language,Commit,Size,archived,accessible
fresher96/arabic-speech-commands,10.0,208.0,2019-01-28T10:52:52Z,Training framework for conditional imitation learning ,Python,167.0,4926.0,False,True
KyanChen/ClassificationFramework,2.0,2.0,2021-06-29T06:13:18Z,,Jupyter Notebook,534.0,425059.0,False,True
marcduby/MachineLearningPython,2.0,91.0,2021-09-10T23:43:24Z,Materials for my 2021 NYU class on NLP and ML Systems (Master of Engineering).,Jupyter Notebook,270.0,24281.0,False,True
hirune924/kaggle-PANDA,2.0,260.0,2019-09-26T20:42:39Z,PyTorch Implementations For A Series Of Deep Learning-Based Recommendation Models,Python,155.0,655968.0,False,True
richardtjornhammar/impetuous,30.0,1287.0,2020-03-05T11:32:13Z,Avalanche: an End-to-End Library for Continual Learning based on PyTorch.,Python,652.0,11449.0,False,True
zwrok/test01,2.0,3.0,2020-11-18T23:20:32Z,,JavaScript,258.0,40592.0,False,True
luisoala/non-iid-ssdl,30.0,632.0,2020-05-12T14:44:03Z,Track emissions from Compute and recommend ways to reduce their impact on the environment.,Jupyter Notebook,112.0,24893.0,False,True
BBQuercus/deepBlink,7.0,84.0,2021-04-16T14:55:28Z,"TorchFlare is a simple, beginner-friendly, and easy-to-use PyTorch Framework train your models effortlessly.",Python,524.0,18973.0,False,True
BBQuercus/deepBlink,7.0,84.0,2021-04-16T14:55:28Z,"TorchFlare is a simple, beginner-friendly, and easy-to-use PyTorch Framework train your models effortlessly.",Python,524.0,18973.0,False,True
happpyosu/reflection-enhancement-gan,7.0,55.0,2013-07-26T15:13:23Z,Causal Dynamical Triangulations in C++ using CGAL,C++,146.0,114924.0,False,True
hust-wuwechao/mxnet_20191220,2.0,302.0,2019-11-16T09:32:39Z,A Pytorch Computer Vision template to quick start your next project! 🚀🚀,Jupyter Notebook,10474.0,28354.0,False,True
jglee087/AI-ImageCourse,3.0,17.0,2015-11-18T17:52:12Z,Neptune: Genomic Signature Discovery,Python,204.0,2717.0,False,True
mizunt1/gz,30.0,512.0,2020-09-14T23:09:07Z,A collection of Google research projects related to Federated Learning and Federated Analytics.,Python,587.0,3644.0,False,True
phac-nml/neptune,17.0,15.0,2022-05-02T20:23:17Z,Lightning HPO & Training Studio App,Python,295.0,13105.0,False,True
phac-nml/neptune,17.0,15.0,2022-05-02T20:23:17Z,Lightning HPO & Training Studio App,Python,295.0,13105.0,False,True
minerva-ml/minerva-training-materials,4.0,2.0,2018-06-04T14:51:36Z,,C++,103.0,42887.0,True,True
minerva-ml/minerva-training-materials,4.0,2.0,2018-06-04T14:51:36Z,,C++,103.0,42887.0,True,True
eric-erki/mlflow,14.0,36.0,2018-11-30T16:24:59Z,Knowledge base construction from raw scientific documents,Python,284.0,382712.0,False,True
THuix/bnn_bbb,27.0,62.0,2020-11-16T11:38:08Z,,Python,677.0,216558.0,False,True
bearsroom/mxnet-augmented,5.0,43.0,2020-01-31T12:32:19Z,Riemannian optimization for quantum technologies,Python,3536.0,11561.0,False,True
samuelsmal/drosophVAE,2.0,6.0,2022-02-15T10:51:47Z,HCMUS Team at SHREC22: Crack and Pothole Segmentation,Python,127.0,35880.0,False,True
khirotaka/enchanter,2.0,45.0,2019-05-15T01:53:30Z,"Re-Implementation of ""Image Inpainting for Irregular Holes using Partial Convolution""",Python,874.0,3246.0,False,True
microsoft/DeepSpeed,15.0,5262.0,2022-09-11T16:39:45Z,NEW - YOLOv8 🚀 in PyTorch > ONNX > CoreML > TFLite,Python,1382.0,5031.0,False,True
alexhernandezgarcia/gflownet,6.0,2.0,2021-04-13T16:19:47Z,,Jupyter Notebook,271.0,10287.0,False,True
DanielGlickmanTAU/summary_rogue_optimize,2.0,5.0,2020-05-31T21:01:35Z,,Python,601.0,81.0,False,True
RonBanner/Deep-learning,6.0,647.0,2021-05-26T14:52:01Z,An end-to-end implementation of intent prediction with Metaflow and other cool tools,Python,24530.0,652.0,False,True
honguyenhaituan/Attack-Yolov5,2.0,3.0,2020-01-16T00:32:54Z,,Python,1207.0,62303.0,False,True
RichardVelder/Jukebox,3.0,82.0,2020-06-01T14:14:29Z,"Implementation of Hang et al. 2020 ""Hyperspectral Image Classification with Attention Aided CNNs"" for tree species prediction ",Python,124.0,287832.0,False,True
labmlai/labml,2.0,2.0,2019-05-03T23:41:52Z,"A simple, flexible, pytorch training loop.",Python,1284.0,4944.0,False,True
labmlai/labml,2.0,2.0,2019-05-03T23:41:52Z,"A simple, flexible, pytorch training loop.",Python,1284.0,4944.0,False,True
wirenjoel/jukebox,27.0,260.0,2018-02-14T05:13:35Z,Tools and utilities to enable loading data and building graph applications with Amazon Neptune.,Java,128.0,2044.0,False,True
ohsu-comp-bio/Galaxy-ML,2.0,21.0,2021-04-14T09:43:55Z,A collection of Korean Text Datasets ready to use using Tensorflow-Datasets.,Python,271.0,342.0,False,True
xuezhou1998/new_pytorch,3.0,114.0,2018-07-06T08:03:02Z,The MacGraph network. An attempt to get MACnets running on graph knowledge,Python,26548.0,825.0,False,True
MJLagerwerf/nn_fdk,2.0,106.0,2021-03-28T03:11:06Z,Self-Supervised Pillar Motion Learning for Autonomous Driving (CVPR 2021),Python,561.0,24156.0,False,True
alxthm/S3R,4.0,4.0,2020-08-05T15:29:37Z,,Python,118.0,403634.0,False,True
cc-ai/climategan,3.0,5.0,2022-05-11T03:39:52Z,,Python,1843.0,59.0,False,True
JaeDukSeo/Daily-Neural-Network-Practice-2,3.0,5.0,2019-11-18T18:42:37Z,Cookiecutter for evaluating algorithms and training models in nussl,Jupyter Notebook,31237.0,10885.0,False,True
